galaxy,chi2,chi2_red,n_dof,success,r_core,AIC,BIC,convergence_info,log_rho_s,log_r_s,Y_disk,Y_bulge
NGC2841,63.88899155119418,1.3888911206781345,46,True,1.6906796666191217,71.88899155119418,79.53708357290677,"DE: nit=37, nfev=2385",6.255149536302174,1.746988963334391,1.1149721165688025,1.0930602570657681
UGC06787,595.7774209673457,8.892200312945459,67,True,1.6805948130246742,603.7774209673457,612.828140475511,"DE: nit=44, nfev=2795",6.322694330106788,1.706483395068512,1.2,0.6234631071739298
UGC02885,10.105027773725224,0.6736685182483483,15,True,1.6635399729389657,18.105027773725226,21.882783690390987,"DE: nit=43, nfev=2730",6.295586883888476,1.7434435967800723,0.4282815442637824,1.1329829780275364
NGC2915,10.314271842707178,0.3967027631810453,26,True,1.8674801788804891,18.31427184270718,23.919061369355802,"DE: nit=30, nfev=1960",7.428751386097676,0.614385512159078,0.37425748806564724,0.5341367747419986
NGC3726,15.522373495082512,1.940296686885314,8,True,2.0010606061919973,23.522373495082512,25.46200009423451,"DE: nit=33, nfev=2110",5.02967840093007,2.3877136020844634,0.5892419469182267,0.5215912733860995
UGC07603,3.2545364502460092,0.40681705628075115,8,True,1.5699159200940993,11.25453645024601,13.19416304939801,"DE: nit=32, nfev=2985",7.819846431164457,0.20119262945060135,0.9475950336782057,0.9155529152343543
UGC05253,135.68630132815431,1.9664681351906423,69,True,1.385327964905639,143.68630132815431,152.84813909274789,"DE: nit=45, nfev=2840",7.383583505293452,1.1014739081402793,0.14885434260780084,0.6706675807358979
UGC12506,15.305555872467284,0.5668724397210105,27,True,1.2833571357809939,23.305555872467284,29.04150469040787,"DE: nit=28, nfev=1805",7.687153056765609,0.9621182428976568,0.4073370957157771,0.31008995438441456
NGC6503,30.581436137141452,1.1326457828570908,27,True,1.6932487770990798,38.58143613714145,44.317384955082034,"DE: nit=39, nfev=2505",7.113057164232734,0.9313635595060265,0.38978045647354514,0.9473417268832146
NGC6195,35.70042296368445,1.8789696296676028,19,True,1.9104185762647423,43.70042296368445,48.24239982740105,"DE: nit=33, nfev=2250",5.382354710614384,2.286648208165537,0.3431786652156967,0.7740035614220455
NGC4010,16.012516474361785,2.001564559295223,8,True,1.9079533274936713,24.012516474361785,25.95214307351379,"DE: nit=27, nfev=1755",6.1114208728170345,1.6148342189367562,0.6953050164205925,0.33407486028515654
UGC07125,3.9179341394223557,0.43532601549137284,9,True,1.5899082306184922,11.917934139422355,14.177731569268502,"DE: nit=34, nfev=2165",6.096802466711973,1.1256817671820734,0.7809428203435304,1.0192082182006175
UGC02916,271.6896337744452,6.966400866011416,39,True,1.754242959025043,279.6896337744452,286.7344342372195,"DE: nit=37, nfev=2355",6.535665629830858,1.402722035869371,1.1993697058806052,0.5162018568034743
NGC0024,22.902168137277428,0.9160867254910972,25,True,1.6853660088811864,30.902168137277428,36.37135145722333,"DE: nit=34, nfev=2170",7.26099223055821,0.7896744628752246,1.2,1.066476539161215
NGC7331,21.13790674639788,0.6605595858249338,32,True,1.7473002264122035,29.13790674639788,35.471982500222325,"DE: nit=49, nfev=3115",6.219964007912061,1.7147216632331774,0.4274475284760499,0.3
UGC08286,44.67625220737038,3.436634785182337,13,True,1.8181308334838504,52.67625220737038,56.00910558359524,"DE: nit=36, nfev=2300",6.984609460102646,0.8252789518125049,1.2,0.5836258791063262
F583-4,2.664135102607251,0.3330168878259064,8,True,1.9168086401420086,10.66413510260725,12.603761701759252,"DE: nit=40, nfev=2510",6.135395271765967,1.259816434158205,1.2,0.7227910809463365
ESO116-G012,19.19098083597039,1.7446346214518536,11,True,1.7678350086701882,27.19098083597039,30.023181640379228,"DE: nit=30, nfev=1925",6.814920205747028,1.125784736716509,0.6414805378536603,0.6846678008493403
F571-8,5.822177990877723,0.6469086656530804,9,True,1.8650314821541238,13.822177990877723,16.08197542072387,"DE: nit=36, nfev=2265",6.901442393350342,1.2279640100740343,0.1,1.1003712723558006
NGC3741,10.518150921329891,0.6187147600782289,17,True,2.0678322940185945,18.51815092132989,22.69624067222358,"DE: nit=41, nfev=2565",6.263336831368963,1.087371836393379,1.2,1.3736722669308734
UGC02953,340.41295129169106,3.06678334497019,111,True,1.5618103809657158,348.41295129169106,359.39267980514404,"DE: nit=45, nfev=2840",6.747823201925813,1.449109463707184,0.6862801715881622,0.6970926215087057
NGC1090,32.5810457565165,1.6290522878258251,20,True,1.627631638696016,40.5810457565165,45.293261077908284,"DE: nit=40, nfev=2535",7.044858052150626,1.0850289221798763,0.38884514356049454,0.5468811924314394
KK98-251,4.430948139612012,0.4028134672374556,11,True,1.9178153733044438,12.430948139612012,15.263148944020852,"DE: nit=33, nfev=2085",6.046319940189365,1.3239324748919135,0.6206285929431159,1.1836832502357189
UGC00731,81.19970892064131,10.149963615080164,8,True,1.8445145244214163,89.19970892064131,91.13933551979332,"DE: nit=27, nfev=1735",6.87979605530078,0.8144353594753383,1.2,0.6830239677533351
NGC3198,29.295980752243196,0.7709468619011367,38,True,1.6750246392346855,37.295980752243196,44.24665922537667,"DE: nit=43, nfev=2710",6.9431980451238715,1.1214262348640989,0.48678379005864625,0.3798629712443288
NGC5585,62.42079259041657,3.1210396295208285,20,True,1.8931575307185573,70.42079259041657,75.13300791180835,"DE: nit=35, nfev=2230",6.552501324042573,1.1819335759289014,0.49462528645282744,1.0045907461552233
