galaxy,profile,chi2,chi2_red,n_dof,AIC,BIC,success,r_core
F568-1,nfw,8.37690418450811,1.0471130230635137,8,16.37690418450811,18.316530783660113,True,0.0
NGC0100,nfw,14.197427788472055,0.8873392367795034,16,22.197427788472055,26.180356882688017,True,0.0
NGC0055,nfw,21.150787607269308,1.2441639768981947,17,29.150787607269308,33.328877358163,True,0.0
NGC5985,nfw,50.72872787866371,1.7492664785746108,29,58.72872787866371,64.71475812452964,True,0.0
NGC1003,nfw,66.91527198130306,2.0911022494157208,32,74.91527198130306,81.2493477351275,True,0.0
NGC6674,nfw,20.197902209769428,1.836172928160857,11,28.197902209769428,31.030103014178266,True,0.0
NGC4013,nfw,23.11336235586604,0.7222925736208138,32,31.11336235586604,37.44743810969048,True,0.0
UGC06614,nfw,1.5313730664343987,0.17015256293715542,9,9.531373066434398,11.791170496280547,True,0.0
NGC4100,nfw,18.866999075000805,0.9433499537500403,20,26.866999075000805,31.579214396392587,True,0.0
NGC5907,nfw,82.8502865160003,5.52335243440002,15,90.8502865160003,94.62804243266606,True,0.0
UGC05829,nfw,0.9272097530680661,0.13245853615258088,7,8.927209753068066,10.518790844261549,True,0.0
NGC4088,nfw,4.156296143938284,0.5195370179922855,8,12.156296143938285,14.095922743090284,True,0.0
NGC5005,nfw,0.792592313004719,0.05661373664319421,14,8.792592313004718,12.354079344589376,True,0.0
NGC7793,nfw,38.632752406950374,0.9198274382607232,42,46.632752406950374,53.947317992906754,True,0.0
UGC08490,nfw,3.1440846067939394,0.12092633103053613,26,11.144084606793939,16.748874133442563,True,0.0
NGC2955,nfw,63.554571422585454,3.177728571129273,20,71.55457142258545,76.26678674397724,True,0.0
NGC3893,dc14,11.372697104000213,1.895449517333369,6,19.372697104000213,20.583037475976397,True,0.0
NGC4214,dc14,2.371815484237154,0.23718154842371542,10,10.371815484237153,12.928044802698189,True,0.0
NGC0300,dc14,53.03704686928924,2.525573660442345,21,61.03704686928924,65.91255016876204,True,0.0
NGC3769,dc14,6.982932209483706,0.8728665261854632,8,14.982932209483707,16.922558808635706,True,0.0
UGC06983,dc14,13.664031714012882,1.0510793626163755,13,21.664031714012882,24.996885090237747,True,0.0
UGC05764,dc14,10.070746792290329,1.6784577987150548,6,18.07074679229033,19.28108716426651,True,0.0
UGC11557,dc14,18.587755481196705,2.6553936401709577,7,26.587755481196705,28.179336572390188,True,0.0
UGC12632,dc14,28.17645637611566,2.5614960341923325,11,36.17645637611566,39.0086571805245,True,0.0
NGC1705,dc14,0.9534917954014358,0.09534917954014357,10,8.953491795401435,11.509721113862469,True,0.0
NGC6015,dc14,450.6845667061046,11.267114167652615,40,458.6845667061046,465.82132524177763,True,0.0
NGC3972,dc14,42.969774604079234,7.161629100679872,6,50.969774604079234,52.180114976055414,True,0.0
NGC0247,dc14,114.10366465045182,5.186530211384174,22,122.10366465045182,127.13605080253774,True,0.0
UGC07323,dc14,24.89051284688593,4.148418807814322,6,32.890512846885926,34.10085321886211,True,0.0
UGC03580,dc14,744.1899374008002,17.306742730251166,43,752.1899374008002,759.5905278076405,True,0.0
UGC06930,dc14,6.769108113769545,1.1281846856282576,6,14.769108113769544,15.979448485745728,True,0.0
UGC12732,dc14,4.243707755795192,0.3536423129829327,12,12.243707755795192,15.334062644754317,True,0.0
F568-3,dc14,131.93922958203396,9.424230684430997,14,139.93922958203396,143.5007166136186,True,0.0
UGC09133,dc14,224.9987289358161,3.5156051396221266,64,232.9987289358161,241.87675975652053,True,0.0
UGC04278,dc14,188.47073997261276,9.423536998630638,20,196.47073997261276,201.18295529400456,True,0.0
UGC06917,dc14,39.90801619165055,5.701145170235793,7,47.90801619165055,49.499597282844036,True,0.0
UGC09037,dc14,122.17807224229325,6.787670680127403,18,130.17807224229324,134.54224205572652,True,0.0
NGC2403,dc14,241.45563102483314,3.4993569713743935,69,249.45563102483314,258.6174687894267,True,0.0
F583-1,dc14,35.05958721153855,1.669504152930407,21,43.05958721153855,47.93509051101135,True,0.0
F563-V2,dc14,10.708505616622666,1.7847509361037777,6,18.708505616622666,19.918845988598846,True,0.0
NGC4559,dc14,23.94446946869106,0.8551596238818236,28,31.94446946869106,37.80741307988997,True,0.0
F579-V1,dc14,5.534609177799929,0.553460917779993,10,13.53460917779993,16.090838496260965,True,0.0
DDO064,dc14,28.237022616007334,2.8237022616007335,10,36.23702261600734,38.793251934468366,True,0.0
UGC07399,dc14,4.159706041545048,0.6932843402575081,6,12.159706041545048,13.37004641352123,True,0.0
NGC0801,dc14,79.57097787580253,8.841219763978058,9,87.57097787580253,89.83077530564867,True,0.0
DDO161,dc14,16.30460405650639,0.6038742243150514,27,24.30460405650639,30.040552874446973,True,0.0
UGC11455,dc14,763.9584839618436,23.873702623807613,32,771.9584839618436,778.2925597156681,True,0.0
UGC06786,dc14,23.562442663135347,0.574693723491106,41,31.562442663135347,38.78909262221663,True,0.0
UGC07524,dc14,198.8688350427162,7.365512408989489,27,206.8688350427162,212.6047838606568,True,0.0
NGC4217,dc14,184.3712946732971,12.291419644886473,15,192.3712946732971,196.14905058996285,True,0.0
UGC01281,dc14,58.369692284283175,2.918484614214159,20,66.36969228428318,71.08190760567496,True,0.0
NGC5371,dc14,29.78443582475495,1.9856290549836635,15,37.78443582475495,41.56219174142071,True,0.0
IC2574,dc14,433.16420161117003,14.438806720372334,30,441.16420161117003,447.2696437096347,True,0.0
UGC00128,dc14,36.81296996011117,2.045164997783954,18,44.81296996011117,49.17713977354443,True,0.0
DDO168,dc14,47.78015412873492,7.96335902145582,6,55.78015412873492,56.9904945007111,True,0.0
F574-1,dc14,89.64876274065705,8.964876274065706,10,97.64876274065705,100.20499205911808,True,0.0
UGC04305,dc14,33.18829717216693,1.9522527748333491,17,41.18829717216693,45.366386923060624,True,0.0
NGC2976,dc14,20.13390476638431,0.8753871637558395,23,28.13390476638431,33.31725223040162,True,0.0
ESO563-G021,dc14,1030.6384857614644,39.639941760056324,26,1038.6384857614644,1044.243275288113,True,0.0
NGC0891,dc14,45.912078881417166,3.279434205815512,14,53.912078881417166,57.47356591300182,True,0.0
NGC3917,dc14,115.31164396889916,8.870126459146089,13,123.31164396889916,126.64449734512402,True,0.0
ESO079-G014,dc14,172.13538605711946,15.648671459738132,11,180.13538605711946,182.9675868615283,True,0.0
UGC05005,dc14,17.036081198288194,2.433725885469742,7,25.036081198288194,26.627662289481677,True,0.0
F568-V1,dc14,5.499717159458499,0.5499717159458499,10,13.499717159458498,16.055946477919534,True,0.0
NGC3877,dc14,74.42972051997909,8.269968946664342,9,82.42972051997909,84.68951794982523,True,0.0
D631-7,dc14,27.84215865735745,2.320179888113121,12,35.84215865735745,38.93251354631658,True,0.0
NGC2683,dc14,9.37685700259361,1.3395510003705158,7,17.37685700259361,18.968438093787093,True,0.0
NGC2366,dc14,80.96175430787957,3.6800797412672535,22,88.96175430787957,93.99414045996551,True,0.0
IC4202,dc14,888.8578762278348,31.744924150994102,28,896.8578762278348,902.7208198390338,True,0.0
UGC11914,dc14,56.24351198231432,0.9220247865953166,61,64.24351198231432,72.94106106189686,True,0.0
UGC03205,dc14,127.035448540587,2.887169285013341,44,135.035448540587,142.52025258421855,True,0.0
F563-1,dc14,13.560510342886865,1.0431161802220665,13,21.560510342886865,24.89336371911173,True,0.0
NGC2903,dc14,348.9385773499821,11.63128591166607,30,356.9385773499821,363.04401944844676,True,0.0
UGC01230,dc14,18.764895507311557,2.6806993581873653,7,26.764895507311557,28.35647659850504,True,0.0
NGC0289,dc14,48.53376592162864,2.0222402467345266,24,56.53376592162864,61.86258396232946,True,0.0
NGC7814,dc14,5.945101340036681,0.42465009571690576,14,13.94510134003668,17.50658837162134,True,0.0
DDO154,dc14,2.2558823168116366,0.2819852896014546,8,10.255882316811636,12.195508915963638,True,0.0
UGC06446,dc14,3.3858075030943287,0.26044673100725607,13,11.385807503094329,14.718660879319193,True,0.0
UGC05750,dc14,14.912156336315075,2.4853593893858457,6,22.912156336315075,24.12249670829126,True,0.0
NGC6946,dc14,115.8707673675265,2.1457549512504905,54,123.8707673675265,132.11253940971218,True,0.0
UGC08699,dc14,25.661154577423005,0.6935447183087299,37,33.661154577423005,40.51544284424023,True,0.0
UGC05986,dc14,381.1889480213906,34.653540729217326,11,389.1889480213906,392.02114882579946,True,0.0
NGC2998,dc14,6.901851093977182,0.7668723437752425,9,14.901851093977182,17.16164852382333,True,0.0
NGC5033,dc14,77.37745218834391,4.298747343796884,18,85.37745218834391,89.74162200177717,True,0.0
UGC05721,dc14,8.470783223354658,0.44583069596603464,19,16.47078322335466,21.012760087071257,True,0.0
NGC3521,dc14,3.2749149916014684,0.08851121598922887,37,11.274914991601468,18.1292032584187,True,0.0
UGC08550,dc14,9.882750782621837,1.4118215403745482,7,17.882750782621837,19.47433187381532,True,0.0
UGC11820,dc14,6.374541334490591,1.0624235557484318,6,14.37454133449059,15.584881706466772,True,0.0
NGC5055,dc14,43.55075085784398,1.8146146190768324,24,51.55075085784398,56.8795688985448,True,0.0
UGC03546,dc14,15.894076709448424,0.6113106426710933,26,23.894076709448424,29.498866236097044,True,0.0
NGC4183,dc14,12.760797137116535,0.6716209019535019,19,20.760797137116533,25.302774000833132,True,0.0
UGC07089,dc14,31.701499987397213,3.9626874984246516,8,39.70149998739721,41.64112658654921,True,0.0
UGC07151,dc14,58.79534511573667,8.39933501653381,7,66.79534511573667,68.38692620693016,True,0.0
UGCA444,dc14,1.7912149801386927,0.05597546812933415,32,9.791214980138692,16.125290733963134,True,0.0
NGC4157,dc14,13.542286847491289,1.0417143728839453,13,21.54228684749129,24.87514022371615,True,0.0
NGC2841,dc14,59.000867034869145,1.2826275442362858,46,67.00086703486915,74.64895905658173,True,0.0
UGC06787,dc14,636.4407245915105,9.499115292410604,67,644.4407245915105,653.4914440996757,True,0.0
UGC02885,dc14,14.944623514849932,0.9963082343233288,15,22.94462351484993,26.72237943151569,True,0.0
NGC2915,dc14,12.819078561536976,0.4930414831360376,26,20.819078561536976,26.4238680881856,True,0.0
NGC3726,dc14,37.84446648946101,4.730558311182627,8,45.84446648946101,47.78409308861301,True,0.0
UGC07603,dc14,15.43108868195182,1.9288860852439775,8,23.43108868195182,25.37071528110382,True,0.0
UGC05253,dc14,167.34012806217083,2.425219247277838,69,175.34012806217083,184.5019658267644,True,0.0
UGC12506,dc14,5.467919932140569,0.2025155530422433,27,13.46791993214057,19.203868750081156,True,0.0
NGC6503,dc14,28.75586940345377,1.0650322001279173,27,36.75586940345377,42.491818221394354,True,0.0
NGC6195,dc14,36.15933855442823,1.9031230818120122,19,44.15933855442823,48.70131541814483,True,0.0
